secondsToFail,count
16620,231
16020,231
34620,231
29220,231
28620,231
11820,231
11220,231
20220,231
19620,231
19020,231
18420,231
17820,231
17220,231
5820,231
5220,231
10620,231
10020,231
9420,231
8820,231
8220,231
24420,231
23820,231
23220,231
22620,231
22020,231
21420,231
20820,231
7620,231
7020,231
6420,231
15420,231
14820,231
14220,231
13620,231
13020,231
12420,231
34020,231
33420,231
32820,231
32220,231
31620,231
31020,231
30420,231
29820,231
39420,230
38820,230
38220,230
37620,230
37020,230
36420,230
35820,230
35220,230
25020,230
28020,230
27420,230
26820,230
26220,230
25620,230
40020,230
47220,230
46620,230
46020,230
45420,230
44820,230
44220,230
43620,230
43020,230
42420,230
41820,230
41220,230
40620,230
47820,229
4020,229
2220,229
4620,229
2820,229
3420,229
48420,228
49020,228
50820,228
50220,228
49620,228
58620,228
58020,228
57420,228
56820,228
56220,228
55620,228
55020,228
54420,228
53820,228
53220,228
52620,228
52020,228
51420,228
61020,228
61620,228
62220,228
62820,228
63420,228
60420,228
59220,228
59820,228
74820,228
74220,228
73620,228
70020,228
69420,228
68820,228
77220,228
76620,228
72420,228
73020,228
64020,228
64620,228
65220,228
71820,228
70620,228
71220,228
65820,228
66420,228
67020,228
67620,228
68220,228
1620,228
1020,228
420,228
82620,227
83220,227
83820,227
84420,227
85020,227
85620,227
86220,227
75420,227
76020,227
77820,227
82020,227
81420,227
80820,227
80220,227
79020,226
78420,226
79620,226
31080,60
43080,59
39480,59
40080,59
40680,59
41280,59
41880,59
42480,59
58080,59
56880,59
56280,59
55680,59
55080,59
54480,59
53880,59
53280,59
52680,59
52080,59
51480,59
43680,59
50280,59
49680,59
49080,59
48480,59
47880,59
47280,59
46680,59
46080,59
45480,59
44880,59
44280,59
38880,59
50880,59
14880,59
15480,59
16080,59
16680,59
17280,59
17880,59
18480,59
8280,59
19080,59
19680,59
20280,59
20880,59
21480,59
22080,59
22680,59
57480,59
29280,59
29880,59
30480,59
31680,59
32280,59
32880,59
33480,59
34080,59
34680,59
35280,59
35880,59
36480,59
37080,59
37680,59
38280,59
28680,59
23880,59
24480,59
25080,59
25680,59
26280,59
26880,59
27480,59
28080,59
480,59
1080,59
1680,59
2280,59
2880,59
3480,59
4080,59
63480,59
5280,59
5880,59
6480,59
7080,59
7680,59
8880,59
9480,59
10080,59
10680,59
11280,59
11880,59
12480,59
13080,59
13680,59
23280,59
4680,59
58680,59
59280,59
59880,59
60480,59
61080,59
61680,59
62280,59
62880,59
14280,59
64080,59
64680,59
65280,59
65880,59
66480,59
67080,59
80880,59
69480,59
70080,59
70680,59
71280,59
71880,59
72480,59
73080,59
73680,59
74280,59
74880,59
75480,59
76080,59
76680,59
79680,59
80280,59
68880,59
68280,58
67680,58
78480,58
77280,58
77880,58
85080,58
84480,58
82080,58
83880,58
83280,58
82680,58
85680,58
81480,58
79080,57
86280,57
